location_country,ua_browser,ua_form_factor,total_visitors,total_sessions,total_checkouts,total_orders_placed
United States,Mobile Safari,Mobile,5,5,1,1
United States,Mobile Safari,Mobile,5,5,1,1
United States,Mobile Safari,Mobile,4,5,1,1
United States,Mobile Safari,Mobile,5,5,1,1
United States,Mobile Safari,Mobile,5,5,1,1
United States,Mobile Safari,Mobile,5,6,1,1
United States,Mobile Safari,Mobile,6,8,2,1
United States,Mobile Safari,Mobile,9,12,3,1
United States,Mobile Safari,Mobile,7,12,1,1
United States,Mobile Safari,Mobile,9,12,1,1
United States,Mobile Safari,Mobile,11,13,2,1
United States,Mobile Safari,Mobile,12,14,1,1
United States,Mobile Safari,Mobile,15,19,1,1
United States,Mobile Safari,Mobile,19,21,2,1
United States,Mobile Safari,Mobile,22,23,1,1
United States,Mobile Safari,Mobile,38,44,1,1
United States,Mobile Safari UI/WKWebView,Mobile,1,1,1,1
United States,Mobile Safari UI/WKWebView,Mobile,1,1,1,1
United States,Mobile Safari UI/WKWebView,Mobile,1,1,1,1
United States,Safari,Desktop,1,1,1,1
United States,Safari,Desktop,1,1,1,1
United States,Safari,Desktop,1,1,1,1
United States,Safari,Desktop,1,1,1,1
United States,Safari,Desktop,2,2,1,1
United States,Safari,Desktop,3,4,1,1
United States,Safari,Desktop,16,21,1,1
United States,Samsung Internet,Mobile,1,1,1,1
United States,Samsung Internet,Mobile,1,1,1,1
United States,Samsung Internet,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,2,2,1,1
United States,Mobile Safari,Mobile,2,2,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,3,4,1,1
United States,Mobile Safari,Mobile,2,2,1,1
United States,Chrome Mobile iOS,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,2,2,2,1
United States,Instagram,Mobile,1,2,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,1,2,1,1
United States,Samsung Internet,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,2,1,1
United States,Instagram,Mobile,1,2,1,1
United States,Instagram,Mobile,3,3,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,2,2,1,1
United States,Mobile Safari,Mobile,3,3,1,1
United States,Mobile Safari UI/WKWebView,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
